station,channel,pga_gal,pgv_cm_s,pgd_cm,arias_intensity_m_s,significant_duration_d5_95_s,qc_valid,qc_score
PPJR | 2026-02-05 18:04:27 UTC,HNE,87.1155301594473,7.226463642138352,0.7964191560588311,0.09797311347243408,21.070092976436996,True,70
PPJR | 2026-02-05 18:04:27 UTC,HNN,124.35638005606715,10.822165339232473,1.4115982450660005,0.1114661877723373,19.55978234570307,True,70
PPJR | 2026-02-05 18:04:27 UTC,HNZ,34.510346091867206,2.6531102512167934,0.34022087070657475,0.015668543626831403,27.139050926850544,True,70
PCJI | 2026-02-05 18:04:28 UTC,HNE,38.39728639918767,0.9304978108333898,0.10292690009623631,0.010928962938221811,15.117725676268506,True,70
PCJI | 2026-02-05 18:04:28 UTC,HNN,32.39441480547629,1.0151786841648922,0.17167054279073163,0.006219626603736288,20.590064896848787,True,70
PCJI | 2026-02-05 18:04:28 UTC,HNZ,18.04306694354798,0.8425646702344584,0.13512468962783844,0.003603663312076002,21.997842494076053,True,70
PRJI | 2026-02-05 18:04:30 UTC,HNE,70.12627729911355,1.6244855667210147,0.09422964851651495,0.05070630142113872,16.454626671908898,True,70
PRJI | 2026-02-05 18:04:30 UTC,HNN,81.37105193260126,2.3379922809345803,0.20513307656783297,0.07348847104000295,13.835564979089781,True,70
PRJI | 2026-02-05 18:04:30 UTC,HNZ,35.26465498101407,0.8572754546621413,0.050902654900556725,0.013062641071135219,20.307965092658364,True,70
PWJI | 2026-02-05 18:04:33 UTC,HNE,17.641579960416394,1.2591557639582716,0.16403412585419574,0.003500039787439519,21.459714804993396,True,70
PWJI | 2026-02-05 18:04:33 UTC,HNN,19.564400184599197,0.968295848674622,0.10799106651449787,0.0023053558469352973,18.124076550295968,True,70
PWJI | 2026-02-05 18:04:33 UTC,HNZ,11.9696031039297,0.7804376708479085,0.12607185382439973,0.001766185315349445,28.963476309592664,True,70
TAJN | 2026-02-05 18:04:33 UTC,HNE,25.759209984354598,2.6991108370066113,0.33822397081245953,0.022888452631589413,35.476567115645395,True,70
TAJN | 2026-02-05 18:04:33 UTC,HNN,21.792938299242444,1.9632423550372935,0.379921528417798,0.01667660342727285,45.191435542483674,True,70
TAJN | 2026-02-05 18:04:33 UTC,HNZ,8.00780231925958,0.5589400130398855,0.11501487627195303,0.0024273814007631477,49.73575183563776,True,70
WGJR | 2026-02-05 18:04:33 UTC,HNE,21.9089215668526,1.1813915912801198,0.17442424346333862,0.00545053497678232,22.138061631289673,True,70
WGJR | 2026-02-05 18:04:33 UTC,HNN,32.1250062011677,1.7737634827782278,0.19365321642154223,0.010062821082590703,17.541747515626867,True,70
WGJR | 2026-02-05 18:04:33 UTC,HNZ,12.485852706705783,0.48089548840779356,0.08012269658045841,0.0018824726649266002,39.472190989193095,True,70
PGJM | 2026-02-05 18:04:34 UTC,HNE,52.089087248007516,1.6653594734317614,0.11476303855752061,0.02877712687151754,22.770026402967574,True,70
PGJM | 2026-02-05 18:04:34 UTC,HNN,74.00232995221437,2.292000605286972,0.1939181019126482,0.049309113611575625,20.61952904880036,True,70
PGJM | 2026-02-05 18:04:34 UTC,HNZ,17.50717523162315,0.8560144983760194,0.09829760154947853,0.004049285136360304,24.3257764491414,True,70
GKJM | 2026-02-05 18:04:34 UTC,HNE,47.39985550352526,3.418754168896406,0.5096366642271039,0.020685446731241244,11.315103434399731,True,70
GKJM | 2026-02-05 18:04:34 UTC,HNN,63.35224276070337,5.242848040442841,0.5622017307301027,0.0325714386620349,8.274106156665596,True,70
GKJM | 2026-02-05 18:04:34 UTC,HNZ,23.52624528066095,1.733647835849986,0.1792010635505403,0.00828543104276343,27.489604232111077,True,70
PBJR | 2026-02-05 18:04:35 UTC,HNE,50.836607401676325,3.8129883457328817,0.40987403354255747,0.05765019541182379,18.36737368724033,True,70
PBJR | 2026-02-05 18:04:35 UTC,HNN,58.97786778955527,2.8613881536149712,0.24522386880807984,0.055966347260900065,17.86481831080232,True,70
PBJR | 2026-02-05 18:04:35 UTC,HNZ,17.89538072112613,1.1651982485896288,0.11864205533783564,0.006405703797634124,27.188901864004222,True,70
TTJN | 2026-02-05 18:04:35 UTC,ACE,25.860007476690903,2.4382205042472744,0.3073072519773408,0.008373695858519912,34.90295076700336,True,70
TTJN | 2026-02-05 18:04:35 UTC,ACN,16.11369873265747,1.4562833192404236,0.14346978913226052,0.005346135738030617,48.537043430544486,True,70
TTJN | 2026-02-05 18:04:35 UTC,ACZ,21.71281198437857,1.1076967503854254,0.14995431563108313,0.0025717634355896467,40.770061803110934,True,70
SKJR | 2026-02-05 18:04:35 UTC,HNE,14.997982611641309,0.9589645209802063,0.19323270986491078,0.006825716724329381,35.923865963705026,True,70
SKJR | 2026-02-05 18:04:35 UTC,HNN,15.645914217454843,0.8925459845256202,0.13866055097122468,0.006495439261702865,37.710668698209645,True,70
SKJR | 2026-02-05 18:04:35 UTC,HNZ,6.078715482745368,0.597037338368023,0.10585596152186429,0.0011907632538475364,49.834715525732804,True,70
DTJN | 2026-02-05 18:04:36 UTC,ACE,17.182855954642832,1.9116033778903294,0.28675857472386806,0.01049723863615092,26.582810103293752,True,70
DTJN | 2026-02-05 18:04:36 UTC,ACN,16.077975195620294,1.7392417108079081,0.36119997396574616,0.00940985100423633,41.36297920747427,True,70
DTJN | 2026-02-05 18:04:36 UTC,ACZ,8.84718436781375,1.0964916444569524,0.2198583904682029,0.002900881336415124,44.80057116180092,True,70
BYJR | 2026-02-05 18:04:36 UTC,HNE,46.14994565360355,4.530527213595312,0.7007297438602772,0.0432110908939138,20.2739277962435,True,70
BYJR | 2026-02-05 18:04:36 UTC,HNN,38.33415222733764,3.7671338194943664,0.5449447803436512,0.038824396681236675,21.701994269877986,True,70
BYJR | 2026-02-05 18:04:36 UTC,HNZ,17.21420544577071,1.2660028570865598,0.2554273009837229,0.007228481101607632,45.58616164500819,True,70
KCJN | 2026-02-05 18:04:36 UTC,ACE,30.661980083246306,1.9122943027889103,0.35468339657791026,0.012837082638048218,33.55547064944773,True,70
